	Jnum	JTN	Eexp	ExExp	CKE	CKEx	EMAP	ExMAP	LA	LAsigma	LA(1)	LA(1)sigma	LAex	LAexsigma	LA(1)ex	LA(1)exsigma	infit
${}^{12}$C	2	($2^+1,1$)	-76.057	16.105	-75.432	16.758	-76.15	16.297	-76.211	0.213	-76.227	0.206	16.311	0.292	16.307	0.266	True
${}^{13}$C	1	($\frac{1}{2}^-\frac{1}{2},1$)	-97.108	0.0	-96.366	0.0	-96.82	0.0	-96.876	0.205	-96.882	0.213	0.0	NaN	0.0	NaN	True
${}^{13}$C	3	($\frac{3}{2}^-\frac{1}{2},1$)	-93.424	3.684	-92.716	3.65	-93.026	3.794	-93.073	0.185	-93.075	0.18	3.803	0.273	3.807	0.271	True
${}^{13}$C	5	($\frac{5}{2}^-\frac{1}{2},1$)	-89.561	7.547	-89.125	7.241	-89.499	7.321	-89.552	0.225	-89.553	0.229	7.324	0.292	7.329	0.285	True
${}^{13}$C	1	($\frac{1}{2}^-\frac{1}{2},2$)	-88.218	8.89	-87.758	8.608	-88.153	8.667	-88.354	0.425	-88.396	0.568	8.522	0.477	8.485	0.637	False
${}^{14}$C	0	($0^+1,1$)	-105.284	0.0	-104.481	0.0	-105.158	0.0	-105.17	0.284	-105.182	0.27	0.0	NaN	0.0	NaN	False
${}^{14}$C	0	($0^+1,2$)	-98.695	6.589	-89.18	15.301	-91.445	13.713	-91.464	0.909	-91.434	1.097	13.706	0.958	13.749	1.138	False
${}^{14}$C	2	($2^+1,1$)	-98.272	7.012	-97.371	7.11	-97.817	7.341	-97.839	0.246	-97.821	0.244	7.33	0.318	7.362	0.295	False
${}^{14}$C	2	($2^+1,2$)	-96.966	8.318	-88.642	15.839	-90.929	14.229	-90.922	0.54	-90.946	0.516	14.248	0.615	14.236	0.593	False
${}^{14}$N	1	($1^+0,1$)	-104.659	0.0	-104.305	0.0	-104.333	0.0	-104.427	0.252	-104.447	0.281	0.0	NaN	0.0	NaN	True
${}^{14}$N	0	($0^+1,1$)	-102.347	2.312	-101.482	2.823	-102.159	2.174	-102.171	0.284	-102.183	0.27	2.256	0.405	2.264	0.406	True
${}^{14}$N	1	($1^+0,2$)	-100.711	3.948	-100.296	4.009	-100.287	4.046	-100.296	0.293	-100.254	0.321	4.131	0.388	4.193	0.449	True
${}^{15}$O	1	($\frac{1}{2}^-\frac{1}{2},1$)	-111.955	0.0	-112.205	0.0	-112.096	0.0	-112.105	0.185	-112.09	0.2	0.0	NaN	0.0	NaN	True
${}^{15}$O	3	($\frac{3}{2}^-\frac{1}{2},1$)	-105.779	6.176	-105.168	7.037	-105.835	6.261	-105.848	0.284	-105.834	0.271	6.257	0.357	6.256	0.348	True
${}^{16}$O	0	($0^+0,1$)	-127.619	0.0	-128.339	0.0	-127.708	0.0	-127.715	0.266	-127.705	0.262	0.0	NaN	0.0	NaN	True
