	Jnum	JTN	Eexp	ExExp	CKE	CKEx	EMAP	ExMAP	LA	LAsigma	LA(1)	LA(1)sigma	LAex	LAexsigma	LA(1)ex	LA(1)exsigma	infit
${}^{11}$B	1	($\frac{1}{2}^-\frac{1}{2},1$)	-74.081	2.124	-74.574	1.78	-74.629	1.97	-74.718	0.219	-74.738	0.228	1.978	0.276	1.965	0.28	True
${}^{11}$B	5	($\frac{5}{2}^-\frac{1}{2},1$)	-71.764	4.441	-71.886	4.468	-72.154	4.445	-72.242	0.185	-72.242	0.182	4.454	0.247	4.46	0.244	True
${}^{11}$B	3	($\frac{3}{2}^-\frac{1}{2},2$)	-71.185	5.02	-71.342	5.012	-71.616	4.983	-71.711	0.324	-71.734	0.298	4.985	0.355	4.968	0.33	True
${}^{11}$B	7	($\frac{7}{2}^-\frac{1}{2},1$)	-69.464	6.741	-70.422	5.932	-70.198	6.401	-70.242	0.229	-70.244	0.232	6.454	0.266	6.459	0.274	True
${}^{12}$B	1	($1^+1,1$)	-79.575	0.0	-79.381	0.0	-79.939	0.0	-80.013	0.264	-80.023	0.269	0.0	0.0	0.0	0.0	False
${}^{12}$B	2	($2^+1,1$)	-78.622	0.953	-78.055	1.326	-78.773	1.166	-78.837	0.206	-78.843	0.207	1.176	0.342	1.18	0.343	False
${}^{12}$B	0	($0^+1,1$)	-76.852	2.723	-74.707	4.674	-76.629	3.31	-76.678	0.798	-76.686	0.946	3.335	0.877	3.336	1.043	False
${}^{12}$B	2	($2^+1,2$)	-75.816	3.759	-74.587	4.794	-75.895	4.044	-75.962	0.336	-75.96	0.365	4.051	0.468	4.063	0.506	False
${}^{12}$B	1	($1^+1,2$)	-74.575	5.0	-74.732	4.649	-74.845	5.094	-75.017	0.374	-75.04	0.382	4.996	0.356	4.982	0.367	False
${}^{12}$B	3	($3^+1,1$)	-73.963	5.612	-74.253	5.128	-75.174	4.765	-75.235	0.373	-75.233	0.359	4.778	0.346	4.789	0.322	False
${}^{12}$B	1	($1^+1,3$)	-72.975	6.6	-72.803	6.578	-72.405	7.534	-72.458	0.689	-72.453	0.707	7.556	0.684	7.569	0.689	False
${}^{13}$B	3	($\frac{3}{2}^-\frac{3}{2},1$)	-84.453	0.0	-84.019	0.0	-85.275	0.0	-85.285	0.357	-85.287	0.369	0.0	0.0	0.0	0.0	False
${}^{12}$C	0	($0^+0,1$)	-92.162	0.0	-92.19	0.0	-92.447	0.0	-92.528	0.229	-92.531	0.228	0.0	0.0	0.0	0.0	True
${}^{12}$C	2	($2^+0,1$)	-87.724	4.438	-87.706	4.484	-87.721	4.726	-87.758	0.181	-87.763	0.177	4.77	0.226	4.768	0.224	True
${}^{12}$C	0	($0^+0,2$)	-84.508	7.654	-78.698	13.492	-79.962	12.485	-80.105	1.355	-80.103	1.459	12.423	1.308	12.428	1.414	False
${}^{12}$C	1	($1^+0,1$)	-79.452	12.71	-79.728	12.462	-79.487	12.96	-79.6	0.347	-79.623	0.354	12.928	0.405	12.907	0.415	True
${}^{12}$C	1	($1^+1,1$)	-77.052	15.11	-76.758	15.432	-77.316	15.131	-77.39	0.264	-77.4	0.269	15.138	0.363	15.131	0.361	True
${}^{12}$C	2	($2^+1,1$)	-76.057	16.105	-75.432	16.758	-76.15	16.297	-76.214	0.206	-76.22	0.207	16.314	0.279	16.311	0.279	True
${}^{13}$C	1	($\frac{1}{2}^-\frac{1}{2},1$)	-97.108	0.0	-96.366	0.0	-96.82	0.0	-96.875	0.212	-96.876	0.211	0.0	0.0	0.0	0.0	True
${}^{13}$C	3	($\frac{3}{2}^-\frac{1}{2},1$)	-93.424	3.684	-92.716	3.65	-93.026	3.794	-93.077	0.178	-93.076	0.18	3.797	0.269	3.799	0.266	True
${}^{13}$C	5	($\frac{5}{2}^-\frac{1}{2},1$)	-89.561	7.547	-89.125	7.241	-89.499	7.321	-89.543	0.234	-89.552	0.231	7.332	0.305	7.324	0.297	True
${}^{13}$C	1	($\frac{1}{2}^-\frac{1}{2},2$)	-88.218	8.89	-87.758	8.608	-88.153	8.667	-88.311	0.455	-88.349	0.565	8.564	0.51	8.527	0.628	False
${}^{14}$C	0	($0^+1,1$)	-105.284	0.0	-104.481	0.0	-105.158	0.0	-105.171	0.283	-105.175	0.277	0.0	0.0	0.0	0.0	False
${}^{14}$C	0	($0^+1,2$)	-98.695	6.589	-89.18	15.301	-91.445	13.713	-91.447	0.893	-91.431	1.039	13.725	0.933	13.744	1.075	False
${}^{14}$C	2	($2^+1,1$)	-98.272	7.012	-97.371	7.11	-97.817	7.341	-97.827	0.235	-97.826	0.249	7.344	0.322	7.349	0.318	False
${}^{14}$C	2	($2^+1,2$)	-96.966	8.318	-88.642	15.839	-90.929	14.229	-90.927	0.526	-90.92	0.509	14.244	0.599	14.255	0.584	False
${}^{14}$N	1	($1^+0,1$)	-104.659	0.0	-104.305	0.0	-104.333	0.0	-104.403	0.255	-104.426	0.271	0.0	0.0	0.0	0.0	True
${}^{14}$N	0	($0^+1,1$)	-102.347	2.312	-101.482	2.823	-102.159	2.174	-102.172	0.283	-102.176	0.277	2.231	0.404	2.249	0.407	True
${}^{14}$N	1	($1^+0,2$)	-100.711	3.948	-100.296	4.009	-100.287	4.046	-100.286	0.294	-100.256	0.304	4.116	0.376	4.169	0.421	True
${}^{15}$O	1	($\frac{1}{2}^-\frac{1}{2},1$)	-111.955	0.0	-112.205	0.0	-112.096	0.0	-112.095	0.19	-112.096	0.195	0.0	0.0	0.0	0.0	True
${}^{15}$O	3	($\frac{3}{2}^-\frac{1}{2},1$)	-105.779	6.176	-105.168	7.037	-105.835	6.261	-105.838	0.273	-105.835	0.274	6.256	0.344	6.261	0.348	True
${}^{16}$O	0	($0^+0,1$)	-127.619	0.0	-128.339	0.0	-127.708	0.0	-127.707	0.264	-127.707	0.259	0.0	0.0	0.0	0.0	True
